ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3556634,HK637485,09/21/2004 06:00:00 AM,008XX N HARDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1112,011,27,23,08B,1149903,1905315,2004,04/15/2016 08:55:02 AM,41.896096883,-87.72488546,"(41.896096883, -87.72488546)"
3556635,HK628438,09/16/2004 08:00:00 AM,017XX N CLARK ST,0890,THEFT,FROM BUILDING,PARKING LOT/GARAGE(NON.RESID.),false,false,1814,018,43,7,06,1174758,1912049,2004,04/15/2016 08:55:02 AM,41.914055338,-87.633396724,"(41.914055338, -87.633396724)"
3556636,HK640628,09/22/2004 11:00:00 AM,031XX S KEDVALE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1031,010,22,30,06,1149212,1883550,2004,04/15/2016 08:55:02 AM,41.836384555,-87.727987073,"(41.836384555, -87.727987073)"
3556637,HK612307,09/09/2004 11:59:00 AM,054XX W WEST END AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1523,015,28,25,18,1139746,1900935,2004,04/15/2016 08:55:02 AM,41.884269219,-87.762297601,"(41.884269219, -87.762297601)"
3556638,HK642313,09/23/2004 08:00:00 AM,047XX N SACRAMENTO AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1713,017,33,14,06,1155522,1931321,2004,04/15/2016 08:55:02 AM,41.967348099,-87.703546296,"(41.967348099, -87.703546296)"
3556639,HK592240,08/30/2004 11:01:48 PM,011XX N MONTICELLO AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1112,011,27,23,18,1151835,1907307,2004,04/15/2016 08:55:02 AM,41.90152531,-87.717737068,"(41.90152531, -87.717737068)"
3556640,HK642269,09/22/2004 11:00:00 PM,014XX W ARGYLE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2033,020,46,3,05,1165766,1933305,2004,04/15/2016 08:55:02 AM,41.972579462,-87.665823481,"(41.972579462, -87.665823481)"
3556641,HK638685,09/21/2004 04:15:00 PM,053XX S KEDZIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0822,008,14,63,08B,1155958,1868886,2004,04/15/2016 08:55:02 AM,41.7960115,-87.703627606,"(41.7960115, -87.703627606)"
3556642,HK616112,09/11/2004 05:28:00 AM,003XX E 43RD ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA PLATFORM,false,false,0214,002,3,38,14,1178941,1876568,2004,04/15/2016 08:55:02 AM,41.816598679,-87.619113763,"(41.816598679, -87.619113763)"
3556643,HK641731,09/22/2004 11:20:00 PM,031XX S ASHLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,false,0922,009,11,59,08B,1166170,1884202,2004,04/15/2016 08:55:02 AM,41.837828905,-87.665743111,"(41.837828905, -87.665743111)"
3556644,HK604294,09/05/2004 03:18:29 PM,036XX S RHODES AVE,2027,NARCOTICS,POSS: CRACK,VEHICLE NON-COMMERCIAL,true,false,0212,002,4,35,18,1180186,1880723,2004,04/15/2016 08:55:02 AM,41.827971833,-87.614419324,"(41.827971833, -87.614419324)"
3556645,HK640202,09/21/2004 03:30:00 PM,086XX S ESCANABA AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0423,004,10,46,26,1196979,1848301,2004,04/15/2016 08:55:02 AM,41.738601858,-87.55388725,"(41.738601858, -87.55388725)"
3556646,HK635163,09/20/2004 05:35:00 AM,002XX W 63RD ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,0711,007,20,68,04B,1176001,1863201,2004,04/15/2016 08:55:02 AM,41.779984872,-87.630299322,"(41.779984872, -87.630299322)"
3556647,HK628049,09/16/2004 05:42:09 PM,048XX S PRAIRIE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,0224,002,3,38,16,1178856,1873092,2004,04/15/2016 08:55:02 AM,41.807062178,-87.619531469,"(41.807062178, -87.619531469)"
3556649,HK599669,08/19/2004 04:00:00 PM,071XX W HIGGINS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1613,016,41,10,14,1127589,1936085,2004,04/15/2016 08:55:02 AM,41.980938497,-87.806146774,"(41.980938497, -87.806146774)"
3556650,HK641898,09/23/2004 02:45:00 AM,062XX S KILPATRICK AVE,0925,MOTOR VEHICLE THEFT,"ATT: TRUCK, BUS, MOTOR HOME",STREET,false,false,0813,008,13,64,07,1146112,1862871,2004,04/15/2016 08:55:02 AM,41.779697608,-87.739886222,"(41.779697608, -87.739886222)"
3556651,HK641821,09/23/2004 01:00:00 AM,060XX W GUNNISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,1622,016,45,11,08B,1134721,1931601,2004,04/15/2016 08:55:02 AM,41.968510539,-87.780023656,"(41.968510539, -87.780023656)"
3556652,HK597742,09/02/2004 11:52:05 AM,004XX S PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,true,false,1132,011,24,26,18,1149797,1897617,2004,04/15/2016 08:55:02 AM,41.874974798,-87.725475051,"(41.874974798, -87.725475051)"
3556653,HK638454,09/21/2004 03:00:08 PM,029XX W HARRISON ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK,true,true,1135,011,2,27,26,1156835,1897226,2004,04/15/2016 08:55:02 AM,41.873762174,-87.699644897,"(41.873762174, -87.699644897)"
3556655,HK641870,09/23/2004 01:30:00 AM,048XX S UNION AVE,0560,ASSAULT,SIMPLE,STREET,false,false,0935,009,11,61,08A,1172447,1872812,2004,04/15/2016 08:55:02 AM,41.80643749,-87.643045829,"(41.80643749, -87.643045829)"
3556656,HK638241,09/19/2004 10:00:00 PM,019XX W 22ND PL,0820,THEFT,$500 AND UNDER,STREET,false,false,1034,010,25,31,06,1163888,1889092,2004,04/15/2016 08:55:02 AM,41.851295923,-87.673979047,"(41.851295923, -87.673979047)"
3556657,HK634948,09/19/2004 11:40:57 PM,012XX N ORLEANS ST,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,1821,018,27,8,08A,1173666,1908556,2004,04/15/2016 08:55:02 AM,41.90449476,-87.637512605,"(41.90449476, -87.637512605)"
3556658,HK641548,09/22/2004 09:26:43 PM,067XX S EVANS AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,true,true,0321,003,6,42,04B,1182376,1860505,2004,04/15/2016 08:55:02 AM,41.772441392,-87.607011343,"(41.772441392, -87.607011343)"
3556659,HK617960,09/12/2004 01:30:00 AM,051XX S FEDERAL ST,0460,BATTERY,SIMPLE,POLICE FACILITY/VEH PARKING LOT,false,false,0232,002,3,40,08B,1176575,1870930,2004,04/15/2016 08:55:02 AM,41.801181128,-87.627962486,"(41.801181128, -87.627962486)"
3556660,HK640602,09/22/2004 02:21:13 PM,021XX E 87TH ST,0820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",false,false,0412,004,8,45,06,1191768,1847705,2004,04/15/2016 08:55:02 AM,41.737094305,-87.572998178,"(41.737094305, -87.572998178)"
3556661,HK642041,09/22/2004 05:30:00 PM,023XX W GRACE ST,0810,THEFT,OVER $500,STREET,false,false,1912,019,47,5,06,1160216,1925182,2004,04/15/2016 08:55:02 AM,41.950406381,-87.686457357,"(41.950406381, -87.686457357)"
3556662,HK630128,08/07/2004 11:00:00 AM,017XX N DAMEN AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,SMALL RETAIL STORE,false,false,1434,014,32,24,11,1162753,1911492,2004,04/15/2016 08:55:02 AM,41.912787265,-87.677516502,"(41.912787265, -87.677516502)"
3556663,HK642321,09/22/2004 10:45:00 PM,065XX N CALIFORNIA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2412,024,50,2,07,1156479,1943169,2004,04/15/2016 08:55:02 AM,41.999840224,-87.699705226,"(41.999840224, -87.699705226)"
3556664,HK635176,09/20/2004 06:14:32 AM,0000X W 95TH ST,0620,BURGLARY,UNLAWFUL ENTRY,OTHER COMMERCIAL TRANSPORTATION,false,false,0634,006,21,49,05,1177762,1841949,2004,04/15/2016 08:55:02 AM,41.721627204,-87.624485177,"(41.721627204, -87.624485177)"
3556666,HK639727,09/21/2004 08:00:00 AM,003XX S FEDERAL ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0112,001,2,32,06,1175870,1898743,2004,04/15/2016 08:55:02 AM,41.877518023,-87.629712369,"(41.877518023, -87.629712369)"
3556667,HK640432,09/22/2004 12:30:00 PM,021XX N MEADE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,false,2512,025,29,19,26,1135393,1913505,2004,04/15/2016 08:55:02 AM,41.91884126,-87.777983794,"(41.91884126, -87.777983794)"
3556668,HK641663,09/21/2004 08:00:00 AM,036XX S HERMITAGE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0922,009,11,59,08A,1165280,1880556,2004,04/15/2016 08:55:02 AM,41.827842838,-87.669112373,"(41.827842838, -87.669112373)"
3556669,HK594964,09/01/2004 05:57:03 AM,032XX W FULTON BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE PORCH/HALLWAY,true,false,1123,011,28,27,18,1154700,1901816,2004,04/15/2016 08:55:02 AM,41.886400586,-87.707360706,"(41.886400586, -87.707360706)"
3556670,HK642283,09/23/2004 09:00:00 AM,014XX W 81ST ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0612,006,21,71,26,1168264,1851038,2004,04/15/2016 08:55:02 AM,41.746778084,-87.659013812,"(41.746778084, -87.659013812)"
3556671,HK628050,09/16/2004 05:42:09 PM,044XX S PRAIRIE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,0221,002,3,38,16,1178780,1875738,2004,04/15/2016 08:55:02 AM,41.814324761,-87.619729627,"(41.814324761, -87.619729627)"
3556672,HK640601,09/21/2004 07:00:00 PM,040XX W 26TH ST,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,false,false,1013,010,22,30,06,1149533,1886409,2004,04/15/2016 08:55:02 AM,41.844223811,-87.7267351,"(41.844223811, -87.7267351)"
3556673,HK627764,09/16/2004 04:00:00 AM,007XX E 105TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0512,005,9,50,05,1183069,1835492,2004,04/15/2016 08:55:02 AM,41.70378684,-87.605246741,"(41.70378684, -87.605246741)"
3556674,HK640281,09/21/2004 07:00:00 PM,095XX S CONSTANCE AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,STREET,false,true,0431,004,7,51,20,1190182,1842138,2004,04/15/2016 08:55:02 AM,41.721856205,-87.578987455,"(41.721856205, -87.578987455)"
3556675,HK639522,09/21/2004 11:22:22 PM,078XX S LOWE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0621,006,17,71,05,1173329,1852786,2004,04/15/2016 08:55:02 AM,41.751464397,-87.640402821,"(41.751464397, -87.640402821)"
3556676,HK633380,09/19/2004 04:45:00 AM,052XX W ROSCOE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1634,016,38,15,14,1140932,1922106,2004,04/15/2016 08:55:02 AM,41.942343057,-87.757420378,"(41.942343057, -87.757420378)"
3556677,HK589108,08/29/2004 12:20:00 PM,055XX W VAN BUREN ST,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,true,false,1522,015,29,25,18,1139426,1897461,2004,04/15/2016 08:55:02 AM,41.874741948,-87.763557389,"(41.874741948, -87.763557389)"
3556678,HK637560,09/20/2004 10:00:00 PM,076XX S BLACKSTONE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0411,004,5,43,14,1187530,1854666,2004,04/15/2016 08:55:02 AM,41.756297661,-87.588303896,"(41.756297661, -87.588303896)"
3556679,HK640749,09/22/2004 02:50:00 PM,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,1834,018,42,8,06,1177303,1905177,2004,04/15/2016 08:55:02 AM,41.895140898,-87.624255632,"(41.895140898, -87.624255632)"
3556681,HK636951,09/20/2004 08:21:32 PM,034XX W FLOURNOY ST,0560,ASSAULT,SIMPLE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1133,011,24,27,08A,1153458,1896817,2004,04/15/2016 08:55:02 AM,41.872707579,-87.712054544,"(41.872707579, -87.712054544)"
3556682,HK640654,09/22/2004 01:35:00 PM,043XX W WRIGHTWOOD AVE,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,2524,025,31,20,08B,1146828,1916920,2004,04/15/2016 08:55:02 AM,41.928001461,-87.735882518,"(41.928001461, -87.735882518)"
3556683,HK639994,09/22/2004 09:00:17 AM,047XX S BISHOP ST,0560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,0933,009,20,61,08A,1167467,1873258,2004,04/15/2016 08:55:02 AM,41.807769669,-87.661297945,"(41.807769669, -87.661297945)"
3556685,HK628051,09/16/2004 05:42:09 PM,048XX S PRAIRIE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,0224,002,3,38,16,1178856,1873092,2004,04/15/2016 08:55:02 AM,41.807062178,-87.619531469,"(41.807062178, -87.619531469)"
3556686,HK617884,09/11/2004 11:40:00 PM,056XX S PAYNE DR,031A,ROBBERY,ARMED: HANDGUN,PARK PROPERTY,false,false,0234,002,20,40,03,1182041,1867697,2004,04/15/2016 08:55:02 AM,41.792184662,-87.608016961,"(41.792184662, -87.608016961)"
3556688,HK641363,09/22/2004 07:30:00 PM,111XX S GREEN ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,ALLEY,true,false,2233,022,34,75,03,1172636,1831043,2004,04/15/2016 08:55:02 AM,41.691813798,-87.643580713,"(41.691813798, -87.643580713)"
3556689,HK638357,09/21/2004 01:55:00 PM,022XX S DR MARTIN LUTHER KING JR DR,0560,ASSAULT,SIMPLE,HOTEL/MOTEL,false,false,0133,001,2,33,08A,1178866,1889450,2004,04/15/2016 08:55:02 AM,41.851949553,-87.618995915,"(41.851949553, -87.618995915)"
3556690,HK598648,09/02/2004 07:55:25 PM,035XX W 25TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1024,010,22,30,18,1153223,1887167,2004,04/15/2016 08:55:02 AM,41.846231538,-87.713173255,"(41.846231538, -87.713173255)"
3556691,HK640782,09/22/2004 03:20:00 PM,008XX W WELLINGTON AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,1932,019,44,6,06,1170185,1920138,2004,04/15/2016 08:55:02 AM,41.936353128,-87.649960168,"(41.936353128, -87.649960168)"
3556692,HK638633,09/21/2004 04:20:00 PM,034XX W ROOSEVELT RD,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,1021,010,24,29,06,1153720,1894499,2004,04/15/2016 08:55:02 AM,41.866341527,-87.711154301,"(41.866341527, -87.711154301)"
3556693,HK589348,08/29/2004 03:30:00 PM,052XX W FERDINAND ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1523,015,28,25,18,1141424,1902647,2004,04/15/2016 08:55:02 AM,41.888936352,-87.756093409,"(41.888936352, -87.756093409)"
3556694,HK639447,09/21/2004 10:25:00 PM,034XX S EMERALD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,true,false,0924,009,11,60,08B,1171864,1882037,2004,04/15/2016 08:55:02 AM,41.831764611,-87.644912991,"(41.831764611, -87.644912991)"
3556695,HK642165,09/23/2004 08:50:00 AM,048XX W QUINCY ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,STREET,true,false,1533,015,28,25,26,1144223,1898565,2004,04/15/2016 08:55:02 AM,41.877682727,-87.745916881,"(41.877682727, -87.745916881)"
3556696,HK641176,09/22/2004 06:00:00 PM,021XX N MC VICKER AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,2512,025,29,19,08A,1135717,1913756,2004,04/15/2016 08:55:02 AM,41.91952427,-87.77678738,"(41.91952427, -87.77678738)"
3556697,HK604156,09/05/2004 01:45:00 PM,010XX W 103RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2232,022,34,73,18,1171043,1836513,2004,04/15/2016 08:55:02 AM,41.70685919,-87.649253824,"(41.70685919, -87.649253824)"
3556698,HK594059,08/31/2004 05:13:49 PM,018XX W 58TH ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,ABANDONED BUILDING,true,false,0715,007,15,67,26,1164904,1866212,2004,04/15/2016 08:55:02 AM,41.788489202,-87.670897508,"(41.788489202, -87.670897508)"
3556699,HK640354,09/22/2004 12:30:00 AM,110XX S DOTY AVE E,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,false,false,0434,004,10,51,26,1185529,1832136,2004,04/15/2016 08:55:02 AM,41.69452013,-87.596343951,"(41.69452013, -87.596343951)"
3556700,HK637593,09/21/2004 07:45:00 AM,010XX W ARGYLE ST,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,true,false,2024,020,46,3,08B,1168491,1933589,2004,04/15/2016 08:55:02 AM,41.973300066,-87.655794935,"(41.973300066, -87.655794935)"
3556701,HK628052,09/16/2004 10:15:00 PM,048XX S PRAIRIE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,0224,002,3,38,16,1178856,1873092,2004,04/15/2016 08:55:02 AM,41.807062178,-87.619531469,"(41.807062178, -87.619531469)"
3556702,HK635854,08/23/2004 12:00:00 PM,107XX S AVENUE F,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,0432,004,10,52,11,1203506,1834339,2004,04/15/2016 08:55:02 AM,41.700124407,-87.530451382,"(41.700124407, -87.530451382)"
3556705,HK638418,09/21/2004 08:00:00 AM,024XX W HARRISON ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,1135,011,2,28,06,1160220,1897294,2004,04/15/2016 08:55:02 AM,41.873879524,-87.687214909,"(41.873879524, -87.687214909)"
3556706,HK641146,09/22/2004 06:25:00 PM,050XX S ASHLAND AVE,0460,BATTERY,SIMPLE,ALLEY,false,false,0931,009,16,61,08B,1166528,1871255,2004,04/15/2016 08:55:02 AM,41.802293305,-87.66479909,"(41.802293305, -87.66479909)"
3556707,HK547718,08/09/2004 09:00:00 PM,044XX W GLADYS AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,STREET,true,false,1131,011,24,26,26,1146750,1897984,2004,04/15/2016 08:55:02 AM,41.876040559,-87.736653119,"(41.876040559, -87.736653119)"
3556710,HK641601,09/22/2004 09:50:00 PM,009XX W WILLOW ST,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,1813,018,43,7,03,1169887,1911910,2004,04/15/2016 08:55:02 AM,41.913781603,-87.65129586,"(41.913781603, -87.65129586)"
3556711,HK628053,09/16/2004 05:42:09 PM,048XX S PRAIRIE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,0224,002,3,38,16,1178856,1873092,2004,04/15/2016 08:55:02 AM,41.807062178,-87.619531469,"(41.807062178, -87.619531469)"
3556714,HK640394,07/19/2004 01:00:00 PM,089XX S CHAPPEL AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,0413,004,8,48,11,1191401,1846097,2004,04/15/2016 08:55:02 AM,41.732690691,-87.574394682,"(41.732690691, -87.574394682)"
10503243,HZ244190,04/28/2016 10:30:00 PM,110XX S NORMAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,2233,022,34,49,08B,1174924,1831789,2016,05/05/2016 03:56:03 PM,41.693810354,-87.635181936,"(41.693810354, -87.635181936)"
3556715,HK640884,09/21/2004 06:30:00 PM,068XX S DORCHESTER AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE PORCH/HALLWAY,true,false,0321,003,5,43,17,1186716,1860033,2004,04/15/2016 08:55:02 AM,41.771044503,-87.591117282,"(41.771044503, -87.591117282)"
3556716,HK642236,09/22/2004 08:30:00 PM,045XX N MULLIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1622,016,38,15,14,1133188,1929890,2004,04/15/2016 08:55:02 AM,41.963842415,-87.785700742,"(41.963842415, -87.785700742)"
3556718,HK636225,09/20/2004 04:10:00 PM,038XX N LEAVITT ST,0460,BATTERY,SIMPLE,STREET,false,false,1912,019,47,5,08B,1161008,1925565,2004,04/15/2016 08:55:02 AM,41.951440914,-87.683535359,"(41.951440914, -87.683535359)"
3556719,HK608555,09/04/2004 12:30:00 PM,051XX S DR MARTIN LUTHER KING JR DR,1585,SEX OFFENSE,OTHER,OTHER,true,false,0234,002,3,40,17,1179796,1871087,2004,04/15/2016 08:55:02 AM,41.801538809,-87.616145232,"(41.801538809, -87.616145232)"
3556721,HK628054,09/16/2004 05:42:09 PM,048XX S PRAIRIE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,0224,002,3,38,16,1178856,1873092,2004,04/15/2016 08:55:02 AM,41.807062178,-87.619531469,"(41.807062178, -87.619531469)"
3556722,HK640258,09/22/2004 10:55:00 AM,028XX N LINDER AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2514,025,31,19,08B,1139214,1918423,2004,04/15/2016 08:55:02 AM,41.932268027,-87.763824822,"(41.932268027, -87.763824822)"
3556724,HK637968,09/21/2004 08:45:00 AM,088XX S EXCHANGE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0423,004,10,46,26,1197299,1846961,2004,04/15/2016 08:55:02 AM,41.734916833,-87.552759392,"(41.734916833, -87.552759392)"
3556725,HK635264,09/20/2004 07:55:00 AM,062XX S STEWART AVE,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",false,false,0711,007,20,68,15,1174692,1863689,2004,04/15/2016 08:55:02 AM,41.781353265,-87.635083754,"(41.781353265, -87.635083754)"
3556728,HK640901,09/22/2004 03:50:00 PM,031XX W 26TH ST,1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,RESTAURANT,true,false,1033,010,12,30,13,1156005,1886571,2004,04/15/2016 08:55:02 AM,41.844540463,-87.70297948,"(41.844540463, -87.70297948)"
3556729,HK642102,09/22/2004 08:00:00 PM,005XX S CLINTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0131,001,2,28,14,1172810,1897826,2004,04/15/2016 08:55:02 AM,41.875070002,-87.640974928,"(41.875070002, -87.640974928)"
3556730,HK634175,09/19/2004 03:50:00 PM,040XX N LECLAIRE AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,ALLEY,false,false,1624,016,45,15,04A,1141640,1926416,2004,04/15/2016 08:55:02 AM,41.954157015,-87.754711181,"(41.954157015, -87.754711181)"
3556731,HK613698,09/09/2004 09:00:00 PM,058XX S DR MARTIN LUTHER KING JR DR,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,PARK PROPERTY,false,false,0234,002,20,40,03,1179919,1866481,2004,04/15/2016 08:55:02 AM,41.788896709,-87.615835136,"(41.788896709, -87.615835136)"
3556732,HK628481,09/16/2004 08:39:22 PM,112XX S VERNON AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,STREET,true,false,0531,005,9,49,26,1181245,1830487,2004,04/15/2016 08:55:02 AM,41.690094564,-87.612079294,"(41.690094564, -87.612079294)"
3556734,HK638216,09/21/2004 12:00:00 PM,016XX S AVERS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,"SCHOOL, PUBLIC, BUILDING",false,false,1014,010,24,29,14,1151008,1891566,2004,04/15/2016 08:55:02 AM,41.858346536,-87.721187148,"(41.858346536, -87.721187148)"
3556735,HK638011,09/21/2004 11:37:03 AM,019XX E 73RD PL,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,0333,003,5,43,03,1190586,1856623,2004,04/15/2016 08:55:02 AM,41.761594665,-87.577041413,"(41.761594665, -87.577041413)"
3556736,HK628430,09/16/2004 07:40:00 PM,064XX S CLAREMONT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0825,008,15,66,08B,1161847,1861973,2004,04/15/2016 08:55:02 AM,41.776920901,-87.682224139,"(41.776920901, -87.682224139)"
3556737,HK641007,09/22/2004 02:00:00 PM,111XX S AVENUE C,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0433,004,10,52,26,1204463,1831727,2004,04/15/2016 08:55:02 AM,41.692932331,-87.527036859,"(41.692932331, -87.527036859)"
3556738,HK641479,09/22/2004 10:30:00 AM,061XX S WESTERN AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",PARKING LOT/GARAGE(NON.RESID.),true,false,0825,008,15,66,07,1161427,1863804,2004,04/15/2016 08:55:02 AM,41.781954133,-87.683713146,"(41.781954133, -87.683713146)"
3556739,HK598967,09/02/2004 11:15:27 PM,007XX N WOOD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,1324,012,1,24,18,1164261,1905204,2004,04/15/2016 08:55:02 AM,41.895500771,-87.67215454,"(41.895500771, -87.67215454)"
3556740,HK635288,09/17/2004 04:00:00 PM,070XX S SANGAMON ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0733,007,17,68,05,1171189,1858192,2004,04/15/2016 08:55:02 AM,41.766346177,-87.648087078,"(41.766346177, -87.648087078)"
3556741,HK631105,09/17/2004 11:00:00 PM,019XX N KEYSTONE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,false,false,2534,025,30,20,15,1149073,1912571,2004,04/15/2016 08:55:02 AM,41.916024183,-87.727745765,"(41.916024183, -87.727745765)"
3556742,HK613407,09/09/2004 08:15:00 PM,051XX S FEDERAL ST,0460,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,false,false,0232,002,3,40,08B,1176575,1870930,2004,04/15/2016 08:55:02 AM,41.801181128,-87.627962486,"(41.801181128, -87.627962486)"
3556743,HK614809,09/10/2004 03:10:00 PM,015XX S CHRISTIANA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1021,010,24,29,18,1154283,1892277,2004,04/15/2016 08:55:02 AM,41.860232898,-87.709146772,"(41.860232898, -87.709146772)"
3556745,HK640630,09/22/2004 01:00:00 PM,022XX S WOOD ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1034,010,25,31,06,1164717,1889375,2004,04/15/2016 08:55:02 AM,41.852054995,-87.670928419,"(41.852054995, -87.670928419)"
3556746,HK635346,09/20/2004 09:00:00 AM,071XX S NORMAL BLVD,0560,ASSAULT,SIMPLE,STREET,false,false,0732,007,6,68,08A,1174198,1857479,2004,04/15/2016 08:55:02 AM,41.76432331,-87.637079178,"(41.76432331, -87.637079178)"
